Date,Sales
2022-04-03,204.11213683332264
2022-04-04,205.69422883202284
2022-04-05,207.69876543086028
2022-04-06,188.18081110472633
2022-04-07,191.16804377740854
2022-04-08,201.76386014380276
2022-04-09,196.7298919750388
2022-04-10,189.12398756919288
2022-04-11,183.91570441049495
2022-04-12,184.06560833650275
2022-04-13,189.3800213239731
2022-04-14,198.48460894327528
2022-04-15,179.55172300143064
2022-04-16,192.2284825825501
2022-04-17,201.87926315809491
2022-04-18,154.36541860962492
2022-04-19,197.5967237999651
2022-04-20,190.55853199816136
2022-04-21,188.491461322593
2022-04-22,194.11550703304164
2022-04-23,195.1626320524862
2022-04-24,189.71708850619174
2022-04-25,203.76688398040255
2022-04-26,194.79696544624946
2022-04-27,196.34718830852594
2022-04-28,184.46734227929625
2022-04-29,191.63214486752048
2022-04-30,198.36281016742726
2022-05-01,205.57565734570935
2022-05-02,191.04184957022426
2022-05-03,210.48143178263308
2022-05-04,186.1409975565207
2022-05-05,204.33146883460577
2022-05-06,196.45785296697423
2022-05-07,181.92693728029087
2022-05-08,219.85138812542988
2022-05-09,210.40016114850147
2022-05-10,200.60698863461204
2022-05-11,195.55461704271235
2022-05-12,211.3402431833745
2022-05-13,200.86914317644877
2022-05-14,201.64526751994046
2022-05-15,222.65133705191178
2022-05-16,205.8056223587419
2022-05-17,206.5143687978082
2022-05-18,207.0702322465233
2022-05-19,200.5683486107307
2022-05-20,242.28466882413744
2022-05-21,209.24330345315346
2022-05-22,209.05034422059765
2022-05-23,197.86172014832417
2022-05-24,228.24886175331298
2022-05-25,203.17706905051855
2022-05-26,202.70218785729037
2022-05-27,202.18948075728784
2022-05-28,205.6878160965511
2022-05-29,207.23952557469102
2022-05-30,221.50927411203895
2022-05-31,216.1595781429272
2022-06-01,215.01711259154516
2022-06-02,206.2772127671738
2022-06-03,195.0271844086138
2022-06-04,190.2897453619428
2022-06-05,199.31308755717774
2022-06-06,196.84498692357133
2022-06-07,228.45375853793047
2022-06-08,190.256267979977
2022-06-09,202.45373564200605
2022-06-10,189.77415314558482
2022-06-11,199.53869391038182
2022-06-12,190.60328311062602
2022-06-13,183.63769069908426
2022-06-14,180.8094985126093
2022-06-15,179.620543854915
2022-06-16,174.30100885199403
2022-06-17,181.63494269551978
2022-06-18,175.50335614675998
2022-06-19,175.41552190537504
2022-06-20,198.82658325878396
2022-06-21,206.9560773297341
2022-06-22,192.6637311599094
2022-06-23,187.3702410026818
2022-06-24,174.98801806910186
2022-06-25,197.95828020004834
2022-06-26,192.985850299946
2022-06-27,194.42656067489912
2022-06-28,182.2807378266201
2022-06-29,197.19761915932676
2022-06-30,184.3593818554328
2022-07-01,177.55836612726148
2022-07-02,210.6890725439512
2022-07-03,185.3229865912131
2022-07-04,190.94072898952848
2022-07-05,206.3730918556873
2022-07-06,200.62583063285464
2022-07-07,195.68324104640135
2022-07-08,206.40926376315298
2022-07-09,205.84600898666406
2022-07-10,210.18594387998095
2022-07-11,193.4132780583634
2022-07-12,204.02059526229652
2022-07-13,224.35341513844836
2022-07-14,200.15203742997986
2022-07-15,194.8881246919984
2022-07-16,228.72911543207408
2022-07-17,176.16319085760827
2022-07-18,203.2134133783982
2022-07-19,206.1590282630903
